,RMS ID,MSX Name,Source Type,Flux 8 (Jy),Flux 12 (Jy),Flux 14 (Jy),Flux 21 (Jy),J Mag.,H Mag.,K Mag.,VLSR (km/s),Distance (kpc),D type,FIR Lum.,Lum. Source,Freq. (GHz),Int. Flux,Random?
2335,267,G267.9464-01.0602,Rejected ,35.227,109.98,189.14,2885.3,,,,,,,,MSX,,,
2336,277,G267.9488-01.0146,Rejected ,0.23800000000000002,0.69,0.86,3.09,,,,,,,,MSX,,,
2337,252,G267.9520-01.1108,Rejected ,1.5619999999999998,2.623,1.89,7.45,,,,,,,,MSX,,,
2338,259,G267.9540-01.0829,Rejected ,3.852,15.624,22.03,45.94,,,,,,,,MSX,,,
2339,272,G267.9543-01.0500,Rejected ,18.454,47.398999999999994,74.92,265.96,,,,,,,,MSX,,,
2340,262,G267.9592-01.0832,Rejected ,2.235,10.602,20.1,54.36,,,,,,,,MSX,,,
2341,258,G267.9615-01.0940,Rejected ,2.195,6.252000000000001,6.26,16.78,,,,,,,,MSX,,,
2342,268,G267.9644-01.0753,Rejected ,0.88,9.847999999999999,4.11,51.91,,,,,,,,MSX,,,
2343,274,G267.9654-01.0443,Rejected ,3.928,9.455,15.16,61.83,,,,,,,,MSX,,,
2344,253,G267.9657-01.1208,Rejected ,1.1,2.023,2.04,5.97,,,,,,,,MSX,,,
2345,257,G267.9702-01.1127,Rejected ,0.511,1.871,3.11,8.36,,,,,,,,MSX,,,
2346,270,G267.9714-01.0705,Rejected ,2.82,5.959,3.35,30.37,,,,,,,,MSX,,,
2347,273,G267.9760-01.0683,Rejected ,1.7269999999999999,3.214,2.19,5.5,,,,,,,,MSX,,,
2349,264,G267.9852-01.1000,Rejected ,0.855,0.738,1.1,4.54,,,,,,,,MSX,,,
2351,278,G267.9896-01.0493,Rejected ,3.275,6.502999999999999,3.08,8.34,,,,,,,,MSX,,,
2353,271,G267.9986-01.0886,Rejected ,2.17,2.6519999999999997,2.11,6.59,,,,,,,,MSX,,,
2354,286,G267.9998-01.0283,Rejected ,0.6,1.406,1.35,4.92,,,,,,,,MSX,,,
2355,294,G268.0035-01.0225,Rejected ,0.415,1.228,1.09,4.64,,,,,,,,MSX,,,
2356,260,G268.0089-01.1283,Rejected ,0.915,2.063,0.92,3.02,,,,,,,,MSX,,,
2357,290,G268.0130-01.0393,Rejected ,1.445,1.305,1.4,14.39,,,,,,,,MSX,,,
2358,276,G268.0288-01.0876,YSO ,0.723,0.845,1.28,10.94,11.1,10.4,10.0,,,,,MSX,,,
2359,306,G268.0594-00.8040,HII region ,0.6859999999999999,0.665,0.68,5.35,,,,4.4,0.7,Lit,578,MIPS/IGA,8.6,<0.6,
2360,303,G268.0625-00.9706,Rejected ,0.11199999999999999,0.613,1.39,3.77,,,,5.8,0.5,Kin,33,MSX,,,
2361,304,G268.0666-00.9699,Rejected ,0.11900000000000001,0.522,1.29,3.06,,,,,,,,MSX,,,
2363,241,G268.3921-03.0659,YSO ,1.197,4.064,7.38,13.72,16.3,15.6,14.4,1.5,0.7,Lit,67,MIPS/IGA,4.8,<0.6,
2364,320,G268.3957-00.4842,YSO ,13.615,18.883,27.34,50.35,15.7,11.8,8.3,11.6,0.7,Lit,3011,MIPS/IGA,4.8,<0.7,
2365,309,G268.4222-00.8490,HII region ,33.529,95.38799999999999,180.1,1102.1,,,,3.1,0.7,Lit,31356,MIPS/IGA,8.6,1,696.0
2366,335,G268.4259+02.4804,PN ,2.905,6.317,7.87,14.42,12.5,11.9,10.6,,,,,MSX,,,
2367,311,G268.4452-00.8442,YSO ,0.39799999999999996,0.578,1.12,2.81,16.0,13.9,11.7,3.2,0.7,Lit,64,MSX,8.6,<209.0,
2368,316,G268.6162-00.7389,HII region ,16.006,17.719,15.1,37.81,11.7,10.0,8.4,2.1,0.7,Lit,722,MIPS/IGA,4.8,8.8,
2369,318,G269.1150-01.1324,Rejected ,1.172,3.79,4.91,15.46,,,,,,,,MSX,,,
2370,319,G269.1159-01.1290,Diffuse HII region ,0.59,2.553,5.67,17.5,,,,,,,,MSX,,,
2371,321,G269.1203-01.1253,Rejected ,1.974,5.761,6.44,20.28,,,,,,,,MSX,,,
2372,322,G269.1249-01.1162,Rejected ,1.15,4.375,3.38,10.93,,,,,,,,MSX,,,
2373,324,G269.1305-01.1114,Rejected ,2.247,3.955,2.15,5.76,,,,,,,,MSX,,,
2376,325,G269.1602-01.1198,Rejected ,0.295,2.272,4.58,18.43,,,,,,,,MSX,,,
2377,315,G269.1661-01.3595,Other ,0.23800000000000002,1.247,2.73,7.2,9.9,9.6,9.4,6.3,0.8,Kin,163,MSX,,,
2378,310,G269.1674-01.5011,Other?,0.6629999999999999,1.466,1.61,5.82,11.3,10.4,9.9,,,,,MSX,,,
2379,313,G269.1721-01.4495,Rejected ,0.09699999999999999,0.48,1.38,3.77,,,,,,,,MSX,,,
2380,312,G269.1835-01.4778,HII region?,0.765,1.25,1.0,3.51,,,,,1.8,Lit,776,MSX,,,
2381,314,G269.1977-01.4320,Rejected ,0.784,2.477,4.16,11.67,,,,,,,,MSX,,,
2383,317,G269.4582-01.4713,Diffuse HII region ,2.0909999999999997,5.099,5.63,17.96,,,,56.8,6.6,Kin,1408,MIPS/IGA,8.6,<4.0,
2384,327,G269.5205-01.2510,YSO ,0.892,2.2119999999999997,4.32,13.99,16.6,14.7,13.1,4.7,0.7,Lit,1005,MIPS/IGA,4.8,<1.2,
2385,330,G269.7431-00.3193,HII/YSO ,0.46299999999999997,1.33,1.03,5.57,16.7,15.7,14.1,76.3,8.5,Kin,5279,MSX,8.6,<0.5,
2386,332,G269.8539-00.0630,YSO ,1.476,2.6319999999999997,4.07,22.99,16.6,15.2,13.3,74.6,8.3,Kin,19208,MIPS/IGA,8.6,<2.0,
2387,336,G270.2596+00.8351,Diffuse HII region ,6.5,8.942,7.5,33.34,,,,9.2,1.6,Kin,3097,MSX,,,
2388,337,G270.2795+00.8353,HII region ,0.257,0.77,1.83,6.84,9.7,9.1,8.7,,,,,MSX,,,
2389,326,G270.7424-02.4384,PN ,18.229,55.245,84.64,90.77,,,,,,,,MSX,,,
2390,331,G270.8247-01.1112,YSO ,2.147,2.773,2.74,4.22,16.0,12.7,10.1,51.5,6.3,Kin,7077,MIPS/IGA,4.8,<0.6,
2391,328,G271.2225-01.7712,YSO ,0.584,0.846,1.35,5.97,17.0,15.4,13.7,75.4,8.6,Kin,4767,MIPS/IGA,4.8,<0.6,
2392,329,G271.6511-02.1492,Young/old star?,0.528,0.875,1.75,4.15,16.7,13.9,11.7,73.2,8.5,Kin,3244,MIPS/IGA,4.8,<0.6,
2393,349,G273.4337+02.8567,Evolved star ,5.8660000000000005,16.69,24.6,29.81,,,,-6.0,0.5,Kin,257,MSX,4.8,<0.6,
2394,340,G273.7091-01.3732,HII region ,1.3530000000000002,1.732,2.45,20.5,14.3,12.8,11.7,34.5,5.2,Kin,5014,MIPS/IGA,4.8,3.4,
2396,341,G273.9928-01.1687,Rejected ,0.557,3.112,7.91,16.49,,,,,,,,MSX,,,
2397,343,G274.0055-01.1448,HII region ,29.635,93.46799999999999,150.47,666.98,14.2,12.0,10.2,37.0,5.5,Kin,691817,MSX,,,
2398,342,G274.0269-01.1756,Rejected ,0.368,1.125,1.69,4.6,,,,,,,,MSX,,,
2399,344,G274.0278-01.1618,Rejected ,1.564,6.957000000000001,12.2,21.92,,,,,,,,MSX,,,
2403,346,G274.2126-01.1143,Rejected ,2.682,3.977,2.95,12.84,,,,37.8,5.6,Kin,13858,MSX,,,
2404,347,G274.9651-00.6421,Evolved star ,2.4459999999999997,3.074,3.35,5.12,11.4,9.7,8.2,,,,,MSX,4.8,<0.5,
2405,338,G275.2156-03.7080,PN ,1.831,3.0180000000000002,3.18,3.48,13.4,12.1,10.4,,,,,MSX,,,
2406,350,G275.4103+00.7936,Evolved star ,0.7609999999999999,2.166,3.89,4.92,12.1,10.9,10.3,,,,,MSX,4.8,<0.5,
2407,339,G275.8190-03.6009,YSO ,3.9,12.117,19.14,25.9,15.5,14.0,11.4,58.9,7.8,Kin,18009,MIPS/IGA,4.8,<1.1,
2408,348,G277.1542-01.5715,PN ,0.617,1.8719999999999999,1.97,4.16,14.2,13.2,11.8,,,,,MSX,8.6,10.8,
2409,352,G277.6631+02.4315,Evolved star ,2.653,3.6430000000000002,3.94,5.11,9.6,7.8,6.7,,,,,MSX,,,
2412,354,G280.6208-01.1879,HII region ,2.676,3.5589999999999997,2.74,12.29,,,,28.6,5.9,Kin,7902,MIPS/IGA,4.8,64.3,
2414,355,G280.9882-01.5337,Rejected ,0.271,1.15,1.71,3.49,,,,,,,,MSX,,,
2415,356,G281.0472-01.5432,HII region ,3.963,10.517000000000001,11.76,35.76,11.4,9.9,8.9,-8.7,7,Spe,145160,MIPS/IGA,8.6,3.7,
2416,357,G281.1641-01.6418,Diffuse HII region ,4.143,9.29,8.1,21.75,,,,,,,,MSX,,,
2417,366,G281.1813-00.4824,PN ,2.351,6.931,12.05,30.16,13.0,11.8,10.7,,,,,MSX,4.8,6.2,
2418,362,G281.2206-01.2556,YSO ,1.21,1.828,1.53,2.76,16.5,14.1,11.9,-4.1,7,Spe,3894,MIPS/IGA,4.8,<0.5,
2419,358,G281.2564-01.7426,HII region?,0.965,1.393,0.96,4.7,,,,-6.6,7,Spe,3419,MSX,8.6,<1.6,
2420,359,G281.4179-01.8027,YSO?,1.4469999999999998,2.011,2.17,3.35,15.7,12.1,9.6,-4.8,1.7,Kin,1311,MIPS/IGA,4.8,<0.4,
2421,351,G281.5060-02.5511,YSO?,0.892,1.248,2.0,5.46,15.2,13.8,11.6,-8.0,7,Spe,18412,MIPS/IGA,8.6,<3.9,
2422,353,G281.5576-02.4775,HII region ,5.194,8.684,10.47,88.73,,,,-7.0,7,Spe,261317,MIPS/IGA,4.8,604.2,
2423,367,G281.5857-00.9706,HII region ,8.008,14.716,17.09,93.22,,,,-2.1,7,Spe,55225,MIPS/IGA,4.8,764.6,
2424,376,G281.5956-00.1363,YSO ,1.105,1.8630000000000002,1.27,4.4,15.5,13.8,13.4,20.8,5.4,Kin,2892,MIPS/IGA,4.8,<1.2,
2425,375,G281.6497-00.5856,Young/old star ,0.9229999999999999,1.3869999999999998,1.43,2.72,12.7,10.4,8.8,,,,,MSX,,,
2426,360,G281.6909-02.0548,YSO ,0.462,1.374,2.92,13.42,18.2,15.7,12.9,-7.2,1.7,Kin,2391,MSX,,,
2427,368,G281.7059-01.0986,HII region ,1.571,1.59,1.48,8.72,,,,-1.0,1.7,Kin,459,MSX,4.8,<0.6,
2428,361,G281.7578-02.0132,YSO ,1.69,2.364,1.86,7.06,14.2,12.7,11.6,-5.4,7,Spe,3559,MIPS/IGA,4.8,<0.5,
2429,365,G281.8449-01.6094,HII region ,2.932,5.091,4.55,28.11,,,,-7.2,7,Spe,19703,MIPS/IGA,4.8,47.8,
2430,369,G281.9780-01.3712,YSO ,0.5589999999999999,0.966,1.81,7.97,17.6,15.5,12.7,18.5,5.2,Kin,4597,MIPS/IGA,4.8,<1.1,
2431,371,G281.9966-01.1929,Rejected ,0.466,1.986,3.36,8.91,,,,,,,,MSX,,,
2432,372,G281.9987-01.1893,Rejected ,0.188,0.8590000000000001,2.3,5.69,,,,,,,,MSX,,,
2433,373,G282.0176-01.1793,Rejected ,3.147,13.103,23.49,39.16,,,,,,,,MSX,,,
2434,374,G282.0341-01.1810,Diffuse HII region ,16.477999999999998,56.893,96.96,195.13,,,,,,,,MSX,,,
2435,377,G282.0598-00.5721,HII region?,0.8490000000000001,1.595,2.72,14.76,16.6,14.7,12.8,15.0,4.9,Kin,12446,MIPS/IGA,4.8,<0.6,
2437,378,G282.2988-00.7769,YSO?,6.192,8.908,10.66,18.06,10.2,8.4,7.0,5.5,3.7,Kin,4049,MIPS/IGA,4.8,<0.6,
2438,370,G282.3764-01.8292,YSO??,1.9780000000000002,2.282,1.85,7.22,14.4,12.8,11.8,,,,,MSX,,,
2439,383,G282.6077-00.4282,PN ,0.258,1.078,1.86,3.65,14.1,13.2,11.8,-0.3,1.8,Kin,422,MSX,4.8,48.1,
2440,363,G282.6997-03.1668,YSO ,2.883,3.8339999999999996,4.78,9.22,8.1,7.5,6.9,,,,,MSX,,,
2441,379,G282.7848-01.2869,YSO?,0.82,1.7990000000000002,2.69,3.34,16.7,13.9,11.7,-5.4,7,Spe,5604,MSX,8.6,<0.6,
2442,381,G282.8414-01.2476,Diffuse HII region ,0.466,1.391,1.36,4.59,,,,,,,,MSX,,,
2443,380,G282.8416-01.2521,Diffuse HII region ,0.513,2.2119999999999997,4.6,12.27,12.0,11.0,10.5,-4.7,1.9,Kin,1482,MSX,,,
2444,364,G282.8667-03.1483,YSO ,0.8220000000000001,1.297,1.81,3.7,17.1,14.6,11.1,-2.9,1.9,Kin,497,MIPS/IGA,4.8,<1.0,
2445,382,G282.8969-01.2727,YSO ,2.101,4.745,7.83,20.38,14.7,12.0,9.9,-4.3,7,Spe,17100,MSX,8.6,<0.6,
2446,384,G283.1186-00.9886,Rejected ,0.21,1.117,2.43,6.21,,,,-3.5,1.9,Kin,782,MSX,,,
2447,387,G283.1391-00.6072,Rejected ,0.11199999999999999,0.662,1.22,4.99,,,,,,,,MSX,,,
2449,385,G283.2273-00.9353,HII region ,1.8769999999999998,3.4930000000000003,7.2,53.98,15.3,13.4,11.9,-8.3,7,Spe,31967,MIPS/IGA,8.6,6.3,
2450,386,G283.3190-01.0564,Rejected ,0.251,0.8690000000000001,1.3,3.17,,,,11.7,4.8,Kin,2502,MSX,,,
2451,396,G283.3716+00.3809,Evolved star ,4.68,16.768,31.32,40.99,,,,,,,,MSX,,,
2452,389,G283.8301-00.7371,HII region ,0.28300000000000003,1.496,2.94,6.08,11.8,11.1,10.7,7.4,4.4,Kin,4029,MSX,,,
2454,392,G284.0079-00.8485,Rejected ,3.1260000000000003,8.379,10.11,25.7,,,,8.6,2.8,Spe,7210,MSX,8.6,<10.9,
2455,393,G284.0155-00.8579,HII region ,6.84,16.959,36.49,197.23,,,,8.8,4.6,Kin,378028,MIPS/IGA,8.6,365.4,
2456,390,G284.0176-00.9022,HII region ,1.501,1.831,1.48,9.06,,,,8.3,4.5,Kin,3734,MSX,4.8,<2.1,
2457,391,G284.0264-00.8783,Diffuse HII region ,1.2409999999999999,3.765,3.69,9.86,,,,,,,,MSX,,,
2460,400,G284.0776-00.4340,HII region ,0.627,2.728,5.67,15.6,12.0,11.0,10.4,,2.8,Spe,2350,MSX,,,
2461,399,G284.0782-00.4435,Diffuse HII region ,0.25,1.131,2.78,6.31,,,,,,,,MSX,,,
2462,445,G284.1408+00.7908,Evolved star ,0.9690000000000001,4.311,10.2,37.12,11.0,9.9,9.1,,,,,MSX,4.8,<1.2,
2463,397,G284.1766-00.7903,Proto-PN ,76.676,215.04,424.57,1224.1,9.9,9.0,7.4,10.5,4.8,Kin,994529,MSX,4.8,<27.3,
2465,404,G284.1810-00.3364,Rejected ,0.18600000000000003,0.762,1.65,4.18,,,,,,,,MSX,,,
2467,408,G284.2083-00.3283,Rejected ,1.4180000000000001,4.435,7.41,16.89,,,,,,,,MSX,,,
2468,411,G284.2179-00.3067,Other ,1.4269999999999998,5.711,8.37,22.41,,,,,,,,MSX,,,
2469,412,G284.2262-00.3159,Rejected ,2.164,9.812000000000001,22.0,45.38,,,,,,,,MSX,,,
2470,414,G284.2303-00.3088,Rejected ,2.662,12.194,22.34,46.39,,,,,,,,MSX,,,
2471,415,G284.2329-00.2864,Other ,2.024,5.4879999999999995,8.37,27.05,,,,,,,,MSX,,,
2472,409,G284.2334-00.3634,YSO ,2.136,4.221,5.91,11.04,16.1,12.8,10.4,-3.5,2.8,Spe,1675,MSX,8.6,<5.9,
2473,418,G284.2373-00.2794,HII region?,1.955,5.587000000000001,5.0,14.16,16.9,15.6,13.7,,2.8,Spe,1545,MSX,,,
2476,394,G284.2438-01.1302,HII region ,2.443,3.05,3.52,22.74,13.4,11.8,10.5,2.4,4.2,Kin,4446,MIPS/IGA,8.6,<1.1,
2477,422,G284.2455-00.2804,Rejected ,0.321,2.89,5.77,12.12,,,,,,,,MSX,,,
2479,426,G284.2541-00.2711,Rejected ,0.732,3.139,5.89,11.16,,,,,,,,MSX,,,
2480,407,G284.2563-00.4077,Rejected ,0.16899999999999998,0.8009999999999999,2.52,8.76,,,,,,,,MSX,,,
2481,410,G284.2574-00.4006,Rejected ,0.364,2.115,4.84,12.69,,,,,,,,MSX,,,
2482,405,G284.2588-00.4298,Rejected ,0.222,0.679,1.04,5.97,,,,,,,,MSX,,,
2484,406,G284.2604-00.4249,Rejected ,0.268,1.071,2.23,8.08,,,,,,,,MSX,,,
2485,438,G284.2636-00.2009,Diffuse HII region ,0.489,0.948,1.21,2.92,,,,,,,,MSX,,,
2486,419,G284.2637-00.3161,Other ,2.826,6.0120000000000005,9.43,21.31,9.5,8.8,8.7,17.4,2.8,Spe,5919,MSX,8.6,<13.0,
2488,413,G284.2706-00.3829,Rejected ,2.7239999999999998,6.9,7.76,24.72,,,,,,,,MSX,,,
2489,428,G284.2806-00.2941,Rejected ,3.3689999999999998,11.13,18.12,30.02,,,,,,,,MSX,,,
2490,417,G284.2819-00.3510,Diffuse HII region ,29.71,99.865,167.61,275.27,,,,,,,,MSX,,,
2491,425,G284.2917-00.3413,Diffuse HII region ,34.07,81.154,249.98,756.87,,,,,,,,MSX,,,
2492,433,G284.2937-00.2843,Rejected ,1.0659999999999998,6.7860000000000005,13.82,39.48,,,,,,,,MSX,,,
2494,437,G284.2983-00.2620,Rejected ,0.551,2.407,2.19,7.33,,,,,,,,MSX,,,
2495,427,G284.2990-00.3252,Rejected ,10.89,44.086000000000006,77.63,175.11,,,,,,,,MSX,,,
2496,421,G284.3027-00.3729,HII region ,1.702,7.127000000000001,10.63,28.44,,,,,2.8,Spe,7979,MSX,,,
2497,423,G284.3109-00.3815,Rejected ,2.145,5.729,5.74,16.95,,,,,,,,MSX,,,
2498,439,G284.3112-00.2710,Rejected ,0.17800000000000002,-0.602,1.67,4.79,,,,,,,,MSX,,,
2499,443,G284.3199-00.2484,Rejected ,0.111,0.585,1.79,4.53,,,,,,,,MSX,,,
2500,416,G284.3210-00.4224,Rejected ,0.7659999999999999,1.1520000000000001,1.18,4.54,,,,,,,,MSX,,,
2501,424,G284.3218-00.3953,Rejected ,0.11800000000000001,2.327,4.58,7.47,,,,,,,,MSX,,,
2502,420,G284.3230-00.4078,Rejected ,0.149,3.0639999999999996,8.63,16.54,,,,,,,,MSX,,,
2503,430,G284.3244-00.3430,Rejected ,0.785,3.253,5.38,7.99,,,,,,,,MSX,,,
2506,434,G284.3279-00.3374,Rejected ,1.452,4.433,8.3,17.52,,,,,,,,MSX,,,
2507,442,G284.3372-00.2831,HII region ,5.3420000000000005,18.729,27.23,74.49,,,,17.9,2.8,Spe,11620,MSX,8.6,<6.3,
2508,432,G284.3412-00.3652,Diffuse HII region ,4.531000000000001,20.736,32.17,76.71,,,,,,,,MSX,,,
2510,441,G284.3444-00.3170,Rejected ,1.2919999999999998,2.582,1.51,5.19,,,,,,,,MSX,,,
2511,435,G284.3454-00.3578,Rejected ,2.306,18.076,34.65,75.2,,,,,,,,MSX,,,
2512,440,G284.3475-00.3253,Rejected ,2.213,5.027,3.35,13.48,,,,,,,,MSX,,,
2513,429,G284.3476-00.3969,Diffuse HII region ,2.035,3.213,2.63,6.56,,,,,,,,MSX,,,
2514,431,G284.3485-00.3802,Diffuse HII region ,1.835,3.82,2.86,10.57,,,,,,,,MSX,,,
2515,436,G284.3498-00.3499,Diffuse HII region ,1.807,12.545,19.98,40.22,,,,,,,,MSX,,,
2516,444,G284.6942-00.3600,YSO ,0.32299999999999995,0.919,1.81,8.57,14.8,13.2,10.7,12.1,2.8,Spe,1914,MIPS/IGA,8.6,<1.2,
2517,447,G284.7306+00.3213,Diffuse HII region ,0.579,3.345,7.55,13.49,,,,12.2,5.2,Kin,12502,MSX,,,
2518,448,G284.7336+00.3265,HII/YSO?,2.7060000000000004,5.4879999999999995,4.62,10.33,15.6,12.8,10.7,12.2,5.2,Kin,8106,MSX,,,
2519,449,G284.9007+00.0653,Diffuse HII region ,0.139,1.227,1.42,3.49,,,,,,,,MSX,,,
2520,398,G285.0191-01.9268,Evolved star ,0.868,1.364,1.67,2.97,15.3,13.1,10.7,,,,,MSX,8.6,<1.1,
2521,388,G285.1195-02.7165,Proto-PN ,3.304,4.458,6.33,24.99,11.7,10.8,9.3,,,,,MSX,8.6,<0.8,
2522,403,G285.1438-01.8790,Proto-PN?,49.495,182.63,452.2,1891.3,4.4,3.4,3.0,,,,,MSX,,,
2523,401,G285.1468-01.9843,Evolved star ,5.431,8.741,11.43,31.33,4.6,3.9,3.6,,,,,MSX,,,
2525,452,G285.2416-00.0505,Rejected ,0.503,2.1,0.77,4.8,,,,,,,,MSX,,,
2526,451,G285.2504-00.0701,HII region ,3.344,5.181,4.53,22.74,,,,,,,,MSX,,,
2527,453,G285.2611-00.0492,Diffuse HII region ,14.245,43.699,70.93,355.99,,,,,,,,MSX,,,
2528,454,G285.2619-00.0208,Rejected ,0.618,2.38,1.5,5.1,,,,,,,,MSX,,,
2529,455,G285.2648-00.0220,Rejected ,0.8759999999999999,1.775,4.97,6.47,,,,,,,,MSX,,,
2530,457,G285.2896-00.0311,HII region?,1.3840000000000001,1.157,1.32,5.22,14.3,13.0,12.1,2.5,0.34/4.09,,14.2/2048.3,MSX,,,
2531,456,G285.3010-00.0803,Diffuse HII region ,1.709,3.07,1.89,4.38,,,,,,,,MSX,,,
2532,458,G285.3472+00.0013,HII region ,9.136000000000001,12.03,9.7,38.2,13.8,11.3,9.0,-2.0,3.2,Kin,10845,MIPS/IGA,8.6,18.9,
2533,472,G285.4501+01.5041,PN ,0.804,2.2640000000000002,4.5,12.53,12.5,12.1,10.9,,,,,MSX,,,
2534,450,G285.5970-00.8508,HII region ,2.448,4.7,9.81,53.9,15.2,14.1,12.4,9.8,5.1,Kin,13865,MIPS/IGA,4.8,2.2,
2535,402,G285.6684-02.7428,PN ,1.234,4.4,6.33,33.78,11.0,10.9,10.2,,,,,MSX,,,
2536,446,G285.7184-01.6476,HII region?,1.13,1.6019999999999999,1.06,3.65,,,,,,,,MSX,,,
2537,476,G285.7344+01.2976,PN ,0.27,-0.6579999999999999,1.71,3.65,13.3,13.1,12.1,,,,,MSX,,,
2538,460,G286.0034-00.7563,Evolved star ,0.537,1.534,3.28,9.73,8.3,8.0,7.9,,,,,MSX,,,
2541,471,G286.1897+00.1722,Diffuse HII region ,0.155,0.58,1.91,7.4,,,,,,,,MSX,,,
2542,468,G286.2056-00.1611,Rejected ,0.159,0.9309999999999999,2.15,6.9,,,,,,,,MSX,,,
2543,467,G286.2069-00.1685,Rejected ,0.225,0.619,1.39,7.2,,,,,,,,MSX,,,
2544,466,G286.2077-00.1720,Rejected ,0.087,0.948,1.76,2.9,,,,,,,,MSX,,,
2546,473,G286.2086+00.1694,YSO ,1.3530000000000002,2.8819999999999997,7.18,40.57,18.0,17.0,13.9,-20.2,2.3,Kin,8048,MIPS/IGA,8.6,<1.5,
2547,465,G286.2096-00.1775,Rejected ,0.22,0.9540000000000001,1.37,7.21,,,,,,,,MSX,,,
2548,464,G286.2100-00.1848,Rejected ,0.16,0.8340000000000001,0.94,5.31,,,,,,,,MSX,,,
2549,463,G286.2153-00.1945,Rejected ,0.122,1.357,0.97,3.42,,,,,,,,MSX,,,
2550,469,G286.3579-00.2933,HII region ,0.713,1.815,2.68,6.07,10.4,10.0,9.7,,,,,MSX,,,
2551,470,G286.3773-00.2563,Diffuse HII region ,1.6280000000000001,2.918,3.86,12.1,,,,-24.0,2.4,Kin,2347,MSX,,,
2552,461,G286.3938-01.3514,HII region ,6.019,17.939,35.34,134.6,15.7,13.6,11.3,39.3,8.1,Kin,147630,MIPS/IGA,4.8,174.9,
2553,459,G286.6027-01.9209,Other ,0.335,1.214,1.57,3.97,10.3,10.1,10.1,,,,,MSX,,,
2554,475,G286.9523-00.9572,HII region ,3.7,8.43,10.36,26.0,,,,34.5,7.8,Kin,51714,MIPS/IGA,4.8,<1.7,
2555,480,G287.0179-00.3225,HII region?,0.307,-0.491,0.99,4.56,,,,-20.2,2.5,Kin,1882,MSX,4.8,<0.5,
2556,479,G287.1000-00.4921,Diffuse HII region ,0.39899999999999997,0.821,0.82,2.87,,,,,,,,MSX,4.8,<0.4,
2557,477,G287.1195-01.0242,Rejected ,0.12300000000000001,0.8079999999999999,1.14,3.05,,,,,,,,MSX,,,
2558,478,G287.1356-01.0314,Other ,0.303,1.328,1.71,6.42,10.6,10.2,10.0,,,,,MSX,,,
2559,474,G287.1921-01.4042,Young/old star ,2.454,3.6889999999999996,4.96,6.37,15.7,12.7,9.6,43.6,8.7,Kin,8199,MSX,4.8,<0.4,
2562,634,G287.2463+00.3512,HII region ,0.9620000000000001,2.655,5.83,15.93,9.3,9.1,9.0,,,,,MSX,,,
2564,482,G287.2972-00.5552,Rejected ,0.688,1.226,1.38,3.81,,,,,,,,MSX,,,
2566,486,G287.3399-00.6008,Rejected ,0.8,2.9389999999999996,5.97,12.52,,,,,,,,MSX,,,
2567,483,G287.3442-00.6302,Rejected ,2.195,3.179,3.41,7.43,,,,,,,,MSX,,,
2568,494,G287.3460-00.5555,Rejected ,0.37799999999999995,0.86,1.89,5.0,,,,,,,,MSX,,,
2569,519,G287.3486-00.4974,Diffuse HII region??,0.366,1.075,1.72,4.31,,,,,,,,MSX,,,
2570,487,G287.3506-00.5900,Rejected ,0.5589999999999999,2.031,3.96,7.91,,,,,,,,MSX,,,
2571,484,G287.3566-00.6409,Diffuse HII region?,4.025,4.813,5.38,15.74,,,,,,,,MSX,,,
2572,518,G287.3594-00.5205,Rejected ,0.237,0.738,1.32,5.12,,,,,,,,MSX,,,
2573,492,G287.3658-00.5968,Rejected ,2.02,5.227,5.22,11.4,,,,,,,,MSX,,,
2574,500,G287.3677-00.5872,Rejected ,1.766,7.222,11.98,27.9,,,,,,,,MSX,,,
2575,645,G287.3716+00.6444,YSO ,10.662,16.053,21.48,62.25,10.4,8.9,7.5,0.9,4.5,Kin,17887,MIPS/IGA,,,
2576,485,G287.3739-00.6683,Rejected ,1.643,1.9409999999999998,1.72,5.52,,,,,,,,MSX,,,
2578,517,G287.3760-00.5518,Rejected ,0.41700000000000004,1.09,1.24,4.26,,,,,,,,MSX,,,
2579,488,G287.3801-00.6415,Rejected ,3.5580000000000003,6.972,7.21,19.39,,,,,,,,MSX,,,
2580,495,G287.3817-00.6179,Rejected ,1.745,3.53,3.73,11.57,,,,,,,,MSX,,,
2581,506,G287.3847-00.6085,Rejected ,2.6519999999999997,10.121,16.4,31.0,,,,,,,,MSX,,,
2582,501,G287.3892-00.6238,Rejected ,1.124,3.819,6.48,13.7,,,,,,,,MSX,,,
2583,510,G287.3934-00.6117,Rejected ,2.316,8.404,14.03,24.12,,,,,,,,MSX,,,
2585,511,G287.3980-00.6160,Rejected ,1.571,8.02,16.7,24.27,,,,,,,,MSX,,,
2586,538,G287.3987-00.5319,Rejected ,1.761,4.359,2.44,9.03,,,,,,,,MSX,,,
2587,542,G287.4002-00.5237,Diffuse HII region ,2.4659999999999997,4.713,2.71,6.21,,,,,,,,MSX,,,
2588,537,G287.4022-00.5389,Rejected ,0.425,1.6569999999999998,2.24,10.65,,,,,,,,MSX,,,
2589,508,G287.4032-00.6368,Rejected ,1.276,4.593,10.18,24.12,,,,,,,,MSX,,,
2591,503,G287.4042-00.6487,Rejected ,0.327,3.4939999999999998,2.87,5.87,,,,,,,,MSX,,,
2594,583,G287.4065-00.3622,Diffuse HII region?,0.532,1.8259999999999998,2.87,4.05,,,,,,,,MSX,,,
