,RMS ID,MSX Name,Source Type,Flux 8 (Jy),Flux 12 (Jy),Flux 14 (Jy),Flux 21 (Jy),J Mag.,H Mag.,K Mag.,VLSR (km/s),Distance (kpc),D type,FIR Lum.,Lum. Source,Freq. (GHz),Int. Flux,Random?
1474,3568,G049.5918-00.3483,Diffuse HII region ,1.757,2.544,2.07,21.47,,,,,,,,MSX,,,
1475,3578,G049.5933-00.4571,Rejected ,0.57,1.808,2.97,9.74,,,,,,,,MSX,,,
1476,3546,G049.5993-00.2488,YSO ,0.16,-0.5379999999999999,1.4,7.66,15.6,13.8,12.7,56.9,5.4,Par,1806,MIPS/IGA,5.0,<0.7,
1477,3574,G049.6894-00.3346,Rejected ,0.146,-0.581,0.86,3.64,,,,,,,,MSX,,,
1478,3468,G049.6945+00.8642,PN ,0.9620000000000001,1.867,2.67,14.97,15.4,13.7,13.0,,,,,MSX,,,
1480,3486,G049.8306+00.3668,HII region?,2.28,3.13,2.38,7.38,,,,4.9,10.2,Kin,14699,MSX,,,
1481,3531,G049.9983+00.0845,Evolved star ,8.013,12.579,14.69,16.48,12.3,10.8,9.1,8.4,0.85/9.95,,411.3/56353.2,MSX,5.0,<0.6,
1482,3566,G049.9987-00.1267,Rejected ,0.475,1.068,1.34,4.19,,,,,,,,MSX,,,
1483,3481,G050.0458+00.7692,PN?,0.9079999999999999,1.244,1.37,8.53,15.2,14.3,12.8,,,,,MSX,5.0,16.8,
1484,3483,G050.0721+00.5591,YSO ,1.137,1.787,1.8,3.38,16.6,14.7,12.6,-4.5,10.8,Kin,14141,MIPS/IGA,5.0,<0.6,
1485,3545,G050.1151+00.0508,Evolved star ,1.403,2.24,2.3,2.85,16.0,14.2,12.8,54.6,5.4,Kin,2860,MSX,5.0,<0.6,
1487,3593,G050.2213-00.6063,YSO ,4.593,9.628,14.19,29.47,13.7,11.4,9.8,40.6,3.3,Kin,13245,MIPS/IGA,5.0,<0.6,
1491,3623,G050.3038-02.4774,PN ,1.157,3.648,9.12,46.27,11.3,10.7,10.3,,,,,MSX,,,
1492,3484,G050.3159+00.6746,HII region ,3.676,6.765,6.88,30.67,,,,25.9,2.1,Kin,2740,MIPS/IGA,5.0,81.3,
1493,3493,G050.3728+00.4784,Evolved star ,1.851,2.7289999999999996,3.93,4.47,16.5,15.4,11.6,,,,,MSX,,,
1494,3487,G050.4802+00.7058,PN ,0.7240000000000001,1.242,3.05,11.64,,,,58.6,5.3,Kin,11507,MSX,5.0,5.4,
1496,3579,G050.5557+00.0448,PN ,0.5529999999999999,0.9690000000000001,4.05,7.17,14.5,13.3,11.8,44.6,3.83/6.84,,3632.8/11586.5,MSX,5.0,131.6,
